                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4526,                 4.8416,                 3.9589,                0.06457,                 0.0458,                0.02799,                0.00861,                 2.9058,                 4.9325,                 3.4898,             0.00047252,             0.00047252,             0.00047252
                      2,                  2.664,                  3.585,                  3.111,                 0.5874,                0.32061,                0.40972,                0.15319,                 2.3227,                 3.4854,                 2.8569,              0.0009344,              0.0009344,              0.0009344
                      3,                 2.3152,                 2.8861,                 2.7085,                0.49103,                0.50382,                0.44492,                0.16174,                 2.0856,                 3.4556,                 2.5819,              0.0013818,              0.0013818,              0.0013818
                      4,                 2.1444,                  2.525,                 2.4927,                0.55572,                0.44879,                0.43749,                0.18247,                 2.0508,                 2.5659,                 2.5385,              0.0013637,              0.0013637,              0.0013637
                      5,                 1.9851,                 2.3562,                   2.36,                0.80499,                0.37816,                0.48502,                0.18949,                 2.0157,                  2.414,                 2.4844,              0.0013637,              0.0013637,              0.0013637
                      6,                 1.9228,                 2.2237,                 2.2819,                 0.6835,                 0.4616,                0.53391,                0.21413,                 1.9686,                 2.3164,                 2.4149,              0.0013419,              0.0013419,              0.0013419
                      7,                 1.8319,                 2.0569,                 2.1806,                0.70817,                0.57426,                0.64689,                0.30059,                 1.7183,                  2.845,                 2.1934,              0.0013202,              0.0013202,              0.0013202
                      8,                 1.7706,                 1.9606,                 2.1155,                0.81925,                0.58015,                0.70293,                0.33126,                 1.6663,                 1.7647,                 2.1075,              0.0012984,              0.0012984,              0.0012984
                      9,                  1.712,                 1.8634,                 2.0441,                0.86834,                0.59542,                0.72958,                0.34215,                  1.687,                 1.5779,                 2.1317,              0.0012766,              0.0012766,              0.0012766
                     10,                  1.692,                 1.8067,                 2.0186,                0.81851,                0.58015,                0.71825,                0.32106,                 1.7262,                 1.8574,                  2.159,              0.0012549,              0.0012549,              0.0012549
                     11,                 1.6341,                 1.7557,                 1.9673,                0.74332,                0.67939,                0.73232,                0.37495,                 1.5944,                   1.67,                 2.0095,              0.0012331,              0.0012331,              0.0012331
                     12,                 1.6144,                 1.6767,                  1.933,                0.92817,                0.64122,                0.78386,                0.39315,                 1.6989,                 1.4661,                 2.0531,              0.0012114,              0.0012114,              0.0012114
                     13,                 1.5474,                 1.5876,                 1.8785,                0.76975,                0.66351,                0.74015,                0.37921,                 1.6865,                 1.3891,                 2.0213,              0.0011896,              0.0011896,              0.0011896
                     14,                 1.5334,                 1.5393,                 1.8624,                0.83148,                0.64032,                0.74087,                0.38739,                 1.6612,                 1.3322,                  2.015,              0.0011678,              0.0011678,              0.0011678
                     15,                 1.5172,                 1.4918,                 1.8458,                0.82436,                0.68072,                0.76877,                 0.3943,                  1.602,                 1.3049,                 1.9742,              0.0011461,              0.0011461,              0.0011461
                     16,                 1.5044,                 1.4646,                 1.8081,                0.90336,                 0.6422,                0.80526,                0.40576,                 1.6098,                 1.2525,                 1.9682,              0.0011243,              0.0011243,              0.0011243
                     17,                 1.4785,                 1.3811,                 1.7824,                0.86884,                0.76336,                0.83727,                0.41222,                 1.6229,                 1.1948,                 2.0339,              0.0011025,              0.0011025,              0.0011025
                     18,                 1.4699,                 1.3759,                 1.7937,                0.87454,                0.70992,                0.81886,                0.41205,                 1.6485,                 1.2294,                  2.056,              0.0010808,              0.0010808,              0.0010808
                     19,                  1.447,                  1.381,                 1.7692,                0.83705,                0.73282,                0.81052,                0.41545,                 1.6203,                  1.211,                 1.9661,               0.001059,               0.001059,               0.001059
                     20,                 1.4496,                 1.3785,                 1.7389,                0.81816,                0.74809,                 0.8114,                0.40605,                 1.7028,                 1.1104,                 2.1143,              0.0010372,              0.0010372,              0.0010372
                     21,                 1.4151,                 1.2945,                 1.7146,                0.92595,                 0.6682,                0.79634,                 0.4011,                 1.7549,                 1.2145,                 2.1239,              0.0010155,              0.0010155,              0.0010155
                     22,                 1.4001,                 1.2718,                 1.6989,                0.78669,                0.67567,                0.72888,                0.37389,                 1.6139,                 1.3598,                 1.9784,              0.0009937,              0.0009937,              0.0009937
                     23,                 1.3966,                 1.2877,                 1.6948,                0.86418,                0.73282,                0.84497,                0.38861,                 1.6482,                 1.1458,                 1.9888,             0.00097194,             0.00097194,             0.00097194
                     24,                 1.3889,                 1.2811,                 1.6982,                0.77777,                0.74809,                0.81364,                0.41515,                 1.6459,                   1.09,                 1.9989,             0.00095018,             0.00095018,             0.00095018
                     25,                 1.3736,                 1.2183,                 1.6833,                0.87515,                0.74915,                0.81753,                0.42856,                 1.6375,                 1.1735,                 1.9794,             0.00092841,             0.00092841,             0.00092841
                     26,                   1.34,                 1.1872,                 1.6403,                0.84737,                0.74809,                0.84217,                0.44016,                 1.6313,                 1.1598,                 1.9878,             0.00090665,             0.00090665,             0.00090665
                     27,                 1.3383,                 1.1656,                 1.6358,                0.88626,                 0.7733,                0.84367,                0.42832,                 1.6634,                 1.0219,                 2.0211,             0.00088488,             0.00088488,             0.00088488
                     28,                 1.3442,                 1.1367,                 1.6433,                0.86866,                0.74046,                0.81394,                0.41038,                 1.7171,                  1.083,                 2.0263,             0.00086312,             0.00086312,             0.00086312
                     29,                 1.3403,                 1.1323,                 1.6461,                0.90906,                0.76309,                0.83898,                  0.424,                  1.634,                 1.0125,                 1.9798,             0.00084135,             0.00084135,             0.00084135
                     30,                 1.3206,                 1.1527,                  1.622,                0.90482,                0.76336,                0.85901,                0.45605,                  1.619,                0.94053,                 1.9298,             0.00081959,             0.00081959,             0.00081959
